F1_2000Hz,F2_1500Hz,F3_1000Hz,F4_900Hz,F5_800Hz,F6_700Hz,F7_600Hz,F8_500Hz,F9_400Hz,F10_200Hz,F11_100Hz,F12_80Hz,F13_600Hz,F14_600Hz,F15_600Hz,F16_600Hz,F17_600Hz,F18_600Hz
NaN,NaN,-0.0240709288724853,-0.0251821414858568,-0.0254676334686034,-0.0171612344759827,-0.0212867678055773,-0.0242909702016429,-0.0247065352305071,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.026740695417781,-0.0290209786326159,-0.0279858179516547,-0.0228552848178272,-0.0254293651232729,-0.0268173875762538,-0.024840198646416,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0284063099631264,-0.0291911685199011,-0.0246182114011996,-0.0218431234437351,-0.0212950193235883,-0.0215879926933364,-0.0216460229858058,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0255766912111236,-0.0277219699055422,-0.0251180708534472,-0.0205591835159188,-0.0257599660108099,-0.0263894821061209,-0.0252958016499178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0297251558610393,-0.0311891348392237,-0.0286819070703738,-0.0217640914100533,-0.0250495904037962,-0.0232437352193908,-0.0202764572604792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0255581206389858,-0.0249045701057184,-0.0262464054054969,-0.0194930799383049,-0.0213674575934419,-0.0229000026835517,-0.0209067204996245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0269516027280285,-0.0279108793765772,-0.0288864068813079,-0.0262366376894837,-0.0269208968529711,-0.0243482092870787,-0.021823477189173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0281473836609318,-0.0274956212670077,-0.0273017615205996,-0.024815346308363,-0.0235509061167249,-0.0196979666604117,-0.0202441403671401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0235071061858131,-0.0264893831044901,-0.0271940633780711,-0.0239649929183846,-0.0275973164389143,-0.0241767714275435,-0.0245708042784827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.027554522336383,-0.0296300077170599,-0.0321796380109542,-0.0268505469042187,-0.0269190714607248,-0.0228368590129927,-0.0201202930911677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.023087247342725,-0.0258111381263006,-0.0273439504332297,-0.0239209599870568,-0.022400201196433,-0.0221466186000422,-0.0214518422289984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0249586469241573,-0.0289898352057207,-0.0314654067284816,-0.029013841606987,-0.0278299794445047,-0.0259418884767607,-0.0241848083242076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0267704604872658,-0.0303514101833571,-0.0289990224070304,-0.0258893475014095,-0.0254514933476457,-0.0227503205193595,-0.0218787791236537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0224971054800941,-0.0288671613961924,-0.0297578081614726,-0.0261488139706974,-0.0293204494664678,-0.0284815306319312,-0.0270701946719782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0277567310937836,-0.0317625687748659,-0.0335964590437167,-0.0287733554917698,-0.0301462718198309,-0.0281870464338378,-0.0230144711240428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0236535473474457,-0.0280783498019446,-0.0275695167608016,-0.0243876084762936,-0.0251753934571752,-0.0281558657540396,-0.0254056604608195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0264752871104671,-0.0298893065482844,-0.0317832484967463,-0.0281404100436096,-0.0317062930116663,-0.0323483260823802,-0.0285787696047919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0279281503268673,-0.0300640412897337,-0.0278676144904845,-0.0262659929770355,-0.0290671297261724,-0.027814685042055,-0.0244658442243235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0234277388760044,-0.0265148082107771,-0.0288886979348414,-0.0266601100641613,-0.0321796842763433,-0.0316820206595973,-0.0290661307080882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0281868903645469,-0.0289280512661207,-0.0313429936892741,-0.028883083917511,-0.0319896758446703,-0.0304609263791159,-0.0245001727744238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0248983158477737,-0.0242105671495665,-0.0257256098217719,-0.0237686701196556,-0.0267810680816183,-0.0289334269715861,-0.0269079769059317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0269243708559467,-0.0261164070398081,-0.0277051732070201,-0.0280333638268833,-0.0323153407225618,-0.0320122676445559,-0.0286591427429812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0279673962601616,-0.0258810804516543,-0.0265966013200038,-0.0260897308665638,-0.0283349425444612,-0.0259398023141936,-0.0247534925147193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0239461130210354,-0.0235184454650152,-0.0269737124569171,-0.0260287664908295,-0.0296551295468817,-0.0286053406550006,-0.0281414950295584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0281155324288799,-0.0271548689634074,-0.0301997952289336,-0.0262229845005398,-0.0293154203245649,-0.0289137201859072,-0.0259185025497572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0255522719332172,-0.0237928317219485,-0.0246053218967669,-0.0215313911515598,-0.0239431978116045,-0.0263855519248561,-0.0269607270165579,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0251985742458298,-0.0262668156356085,-0.0267330959565394,-0.024565938122881,-0.0292404116044054,-0.0304126838697509,-0.0287525730236666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0267684488305046,-0.0265557118982542,-0.0274245284623854,-0.0229364216405277,-0.025197745198966,-0.0242576661063746,-0.024554245363106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0228987476536228,-0.0248009884089697,-0.0260253280527346,-0.0210608683604126,-0.026067153448821,-0.0272814469887332,-0.0274987520679133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0277395388790561,-0.0297411145002116,-0.0299218699462169,-0.0232959494072323,-0.0262105212459574,-0.0286235386981086,-0.0267508069082396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0248921691187813,-0.0261891805857886,-0.023204072577452,-0.0192922122854119,-0.0222737089643488,-0.0244350085510329,-0.0262690151139395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.024718309820552,-0.0278419801325072,-0.026734139037823,-0.0233101986426239,-0.0281860054383287,-0.0284555094791964,-0.0292277896805899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0276968656786873,-0.0285022505850065,-0.0273061946160548,-0.0225711196738606,-0.025065665031434,-0.0215532543613032,-0.0241702238126891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0256782985040142,-0.0258185514539946,-0.0251731306440585,-0.0210412547069912,-0.0260786645958433,-0.0243526423825339,-0.0269983524485724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0287799938329651,-0.0311710485548247,-0.0288950309283488,-0.0258766815143948,-0.0274025023827562,-0.0255899789287165,-0.0242245757981436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0257657683202221,-0.0266862088174094,-0.0232671231157534,-0.0221420407372837,-0.0249782510945806,-0.0219736906243876,-0.0243913756712573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0242876848885013,-0.0275644832581747,-0.0286469638473742,-0.0266184985715275,-0.0300453164527426,-0.0270551356031016,-0.0268267655774252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0284671998330547,-0.0295629338652361,-0.0295801863200419,-0.0261953987258797,-0.0271866590628633,-0.0213210197640971,-0.0227892400725977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.02414200741138,-0.0262284823984373,-0.0286425493783706,-0.0233122475522881,-0.0266427666792879,-0.02531879642144,-0.0251072274550097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0263042962857677,-0.0323621728748549,-0.0318903133399241,-0.0284221537488823,-0.0285235912451753,-0.027169297124298,-0.0247015992208617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.024134631336589,-0.0281913751095999,-0.0285973429805987,-0.023888959743393,-0.0270105087111006,-0.0245301338388041,-0.0252096356853144,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0232568411835625,-0.0288320132822264,-0.0313208840913527,-0.0281905151981239,-0.0309389949688921,-0.029488457973154,-0.0286168420716422,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,-0.0281252554365589,-0.0303347953886259,-0.0323922775811904,-0.0265889942723637,-0.0287575581023702,-0.0250098767234401,-0.0243935735925334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
